movie_name,year,duration,imdb_rating,vote_count,metascore,storyline,url
The Martian,2015,2h 24m,8.0,1M,80,"An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",https://www.imdb.com/title/tt3659388/
The Running Man,2025,2h 13m,6.4,90K,56,"A man joins a game show in which contestants, allowed to flee anywhere in the world, are pursued by ""hunters"" hired to kill them.",https://www.imdb.com/title/tt14107334/
Cold Storage,2026,1h 39m,6.1,14K,64,"When a highly dangerous fungus escapes from a secret laboratory, a former bioterrorism agent is called back into action. Alongside two young employees, he must confront an invisible and out-of-control threat.",https://www.imdb.com/title/tt8879928/
Inception,2010,2h 28m,8.8,2.8M,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",https://www.imdb.com/title/tt1375666/
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,2.2M,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://www.imdb.com/title/tt0120737/
The Dark Knight,2008,2h 32m,9.1,3.2M,85,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/
Spider-Man: No Way Home,2021,2h 28m,8.1,1M,71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",https://www.imdb.com/title/tt10872600/
Disclosure Day,N/A,2h,N/A,N/A,N/A,"If you found out we weren't alone, if someone showed you, proved it to you, would that frighten you?",https://www.imdb.com/title/tt15047880/
Downhill,2020,1h 26m,4.9,16K,49,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",https://www.imdb.com/title/tt4558376/
Michael,N/A,2h 7m,N/A,N/A,N/A,"The story of the famous musician Michael Jackson, known as the King of Pop.",https://www.imdb.com/title/tt11378946/
Lee Cronin's the Mummy,N/A,2h 13m,N/A,N/A,N/A,"The young daughter of a journalist disappears into the desert without a trace. Eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",https://www.imdb.com/title/tt32612507/
Louis Theroux: Inside the Manosphere,2026,1h 31m,6.9,13K,71,"The acclaimed documentarian gains rare, unrestricted access to explore a rising ultra-masculine network and its polarizing influencers.",https://www.imdb.com/title/tt39792948/
No Other Choice,2025,2h 19m,7.6,55K,86,"After being fired, a man devises a unique plan to secure a new job: eliminate his competition.",https://www.imdb.com/title/tt1527793/
Stop! That! Train!,N/A,N/A,N/A,N/A,N/A,"Two train stewardess BFFs switch from a dull railway to the luxurious Glamazonian Express. During a massive storm, they must work with snooty first-class crew and President Gagwell to prevent disaster in LA.",https://www.imdb.com/title/tt38128726/
Do Not Enter,2026,1h 31m,4.3,1.6K,N/A,"A group of explorers investigate an old abandoned hotel, encountering a strange supernatural being and a competing group searching for a legendary hidden treasure.",https://www.imdb.com/title/tt3515878/
Fackham Hall,2025,1h 37m,6.4,11K,54,"A new porter forms an odd bond with the youngest daughter of a well-known UK family. As the Davenport family, headed by Lord and Lady Davenport, deals with the epic disaster of the wedding of their eldest daughter to her caddish cousin.",https://www.imdb.com/title/tt29008225/
Now You See Me: Now You Don't,2025,1h 53m,5.9,61K,50,The Four Horsemen reunite and team up with a new generation of young illusionists to expose a diamond heiress's global money laundering scheme for criminals.,https://www.imdb.com/title/tt4712810/
The Wrecking Crew,2026,2h 4m,6.4,44K,67,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",https://www.imdb.com/title/tt33046197/
Rental Family,2025,1h 49m,7.6,46K,64,"An American actor in Tokyo struggling to find purpose lands an unusual gig: working for a Japanese ""rental family"" agency, playing stand-in roles for strangers. He rediscovers purpose, belonging, and the beauty of human connection.",https://www.imdb.com/title/tt14142060/
Anaconda,1997,1h 29m,5.0,124K,37,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",https://www.imdb.com/title/tt0118615/
The Furious,N/A,1h 53m,7.8,254,N/A,A father fights fiercely against ruthless kidnappers to save his abducted daughter.,https://www.imdb.com/title/tt33311069/
House on Haunted Hill,1959,1h 15m,6.7,35K,N/A,"A millionaire offers $10,000 to five people who agree to be locked overnight in a large, spooky, rented house with him and his wife.",https://www.imdb.com/title/tt0051744/
The Departed,2006,2h 31m,8.5,1.5M,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://www.imdb.com/title/tt0407887/
If I Had Legs I'd Kick You,2025,1h 53m,6.6,33K,78,"While trying to manage her own life and career, a woman on the verge of a breakdown must cope with her daughter's illness, an absent husband, a missing person, and an unusual relationship with her therapist.",https://www.imdb.com/title/tt18382850/
Top Gun,1986,1h 50m,7.0,549K,50,"The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds with the other pilots, especially the cool and collected Iceman.",https://www.imdb.com/title/tt0092099/
Avengers: Doomsday,N/A,N/A,N/A,N/A,N/A,Plot under wraps.,https://www.imdb.com/title/tt21357150/
Greenland 2: Migration,2026,1h 38m,5.2,25K,49,The surviving Garrity family must leave the safety of the Greenland bunker and embark on a perilous journey across the decimated frozen wasteland of Europe to find a new home.,https://www.imdb.com/title/tt14850054/
Pulp Fiction,1994,2h 34m,8.8,2.4M,95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.imdb.com/title/tt0110912/
53 Sundays,2026,1h 18m,5.9,1.1K,N/A,"Three brothers, meet to discuss about their octogenarian father, who has started showing strange behavior.",https://www.imdb.com/title/tt32155665/
Jurassic World: Rebirth,2025,2h 13m,5.8,192K,50,"Five years post-Jurassic World: Dominion (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",https://www.imdb.com/title/tt31036941/
Forgotten Island,N/A,1h 38m,N/A,N/A,N/A,"Follows two best friends who become stranded on the mystical world of Nakali, where their only escape might cost them their shared lifetime of memories.",https://www.imdb.com/title/tt36583977/
The Bluff,2026,1h 43m,5.8,15K,61,A Caribbean woman gets her secret past revealed when her island is invaded by vicious buccaneers.,https://www.imdb.com/title/tt14181714/
Silence,2016,2h 41m,7.2,133K,79,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",https://www.imdb.com/title/tt0490215/
Oppenheimer,2023,3h,8.2,1M,90,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",https://www.imdb.com/title/tt15398776/
Sisu: Road to Revenge,2025,1h 29m,6.8,30K,76,"A man returns to dismantle his family's house, where they were murdered in war, to rebuild it elsewhere. When the killer, a Red Army commander, tracks him down, a brutal cross-country pursuit begins.",https://www.imdb.com/title/tt31844586/
Inglourious Basterds,2009,2h 33m,8.4,1.8M,69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",https://www.imdb.com/title/tt0361748/
Zootopia,2016,1h 48m,8.0,632K,78,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",https://www.imdb.com/title/tt2948356/
Seven,1995,2h 7m,8.6,2M,65,Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.,https://www.imdb.com/title/tt0114369/
Prisoners,2013,2h 33m,8.2,929K,70,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,https://www.imdb.com/title/tt1392214/
Solo Mio,2026,1h 36m,6.8,8.1K,48,"Left heartbroken in Rome after a wedding disaster, a stranded groom finds his ruined honeymoon transformed by a determined local and a few meddling travelers-proving that sometimes heartbreak is only the beginning.",https://www.imdb.com/title/tt32306991/
KPop Demon Hunters,2025,1h 35m,7.4,129K,77,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.,https://www.imdb.com/title/tt14205554/
Anemone,2025,2h 5m,5.6,7.2K,53,"In Northern England, a man heads out on a journey into the woods to reconnect with the estranged hermit brother with whom he shared a complicated past that was altered by life-changing events decades ago.",https://www.imdb.com/title/tt33549447/
Song Sung Blue,2025,2h 12m,7.2,22K,61,"Lightning and Thunder, a Milwaukee husband and wife Neil Diamond tribute act, experience soaring success and devastating heartbreak in their musical journey together.",https://www.imdb.com/title/tt30343021/
Fight Club,1999,2h 19m,8.8,2.6M,67,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://www.imdb.com/title/tt0137523/
Stand by Me,1986,1h 29m,8.1,486K,75,A writer recounts a childhood journey with his friends to find the body of a missing boy.,https://www.imdb.com/title/tt0092005/
The Prestige,2006,2h 10m,8.5,1.6M,66,"Two friends and fellow magicians become bitter enemies after a sudden tragedy. As they devote themselves to this rivalry, they make sacrifices that bring them fame but, with terrible consequences.",https://www.imdb.com/title/tt0482571/
Border 2,2026,3h 20m,6.4,20K,N/A,Young Indian fighters prepared to protect their homeland from a greater threat during the 1971 Indo-Pak war.,https://www.imdb.com/title/tt30387012/
The Creator,2023,2h 13m,6.7,196K,63,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the robots' secret weapon to end the conflict, an AI in the form of a child.",https://www.imdb.com/title/tt11858890/
Parasite,2019,2h 12m,8.5,1.2M,97,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://www.imdb.com/title/tt6751668/
"Crazy, Stupid, Love.",2011,1h 58m,7.4,616K,68,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",https://www.imdb.com/title/tt1570728/
The Visit,2015,1h 34m,6.3,174K,55,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,https://www.imdb.com/title/tt3567288/
Anora,2024,2h 19m,7.4,269K,91,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",https://www.imdb.com/title/tt28607951/
The Substance,2024,2h 21m,7.2,414K,78,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",https://www.imdb.com/title/tt17526714/
The Silence of the Lambs,1991,1h 58m,8.6,1.7M,86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://www.imdb.com/title/tt0102926/
The Fall Guy,2024,2h 6m,6.8,258K,73,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",https://www.imdb.com/title/tt1684562/
Youth,2026,2h 20m,7.5,4.4K,N/A,"15-year-old Praveen enters adolescence determined to find true love before school ends. Through relationships and heartbreaks, he discovers love's real meaning, shaping his maturity and outlook on life.",https://www.imdb.com/title/tt38693888/
The Nice Guys,2016,1h 56m,7.4,413K,70,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",https://www.imdb.com/title/tt3799694/
Over Your Dead Body,N/A,1h 45m,7.6,107,55,"A dysfunctional married couple retreats to a secluded cabin to repair their relationship, but each secretly plots to murder the other.",https://www.imdb.com/title/tt34685692/
28 Years Later,2025,1h 55m,6.6,207K,77,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors.",https://www.imdb.com/title/tt10548174/
Obsession,N/A,1h 48m,7.4,395,76,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",https://www.imdb.com/title/tt37287335/
